Match No.,Team 1,Team 2,Toss won by,First Batting/Bowling,1st Innings Score,2nd innings Score,Winning Team,Won By,Stadium,Session,Man of the Match,Age,Belongs to,Nationality,Capped/Uncapped,MoM Bowling Fig,MoM Batting Fig,,,,
1,CSK,KKR,KKR,Bowling,131/5,133/4,KKR,6 Wickets  ,Wankhede,E,Umesh Yadav,34,Winning Team,IND,Capped,4/0/20/2,,,,,
2,MI,DC,DC,Bowling,177/5,179/6,DC,4 Wickets  ,Brabourne,A,Kuldeep Yadav,27,Winning Team,IND,Capped,4/0/18/3,,,,,
3,RCB,PBKS,PBKS,Bowling,205/2,208/5,PBKS,5 Wickets  ,Dr. DY Patil Sports Academy,E,Odean Smith,25,Winning Team,WI,Capped,4/0/52/0,25(8),,,,
4,LSG,GT,GT,Bowling,158/6,161/5,GT,5 Wickets  ,Wankhede,E,Mohammed Shami,31,Winning Team,IND,Capped,4/0/25/3,,,,,
5,RR,SRH,SRH,Bowling,210/6,149/7,RR,61 Runs,Maharashtra Cricket Association Statium,E,Sanju Samson,27,Winning Team,IND,Capped,,55(27),,,,
6,KKR,RCB,RCB,Bowling,128/10,132/7,RCB,3 Wickets  ,Dr. DY Patil Sports Academy,E,Wanindu Hasaranga,24,Winning Team,SL,Capped,4/0/20/4,4(3),,,,
7,CSK,LSG,LSG,Bowling,210/7,211/4,LSG,6 Wickets  ,Brabourne,E,Ewin Lewis,30,Winning Team,WI,Capped,,55(23),,,,
8,PBKS,KKR,KKR,Bowling,137/10,141/4,KKR,6 Wickets,Wankhede,E,Umesh Yadav,34,Winning Team,IND,Capped,4/1/23/4,,,,,
9,RR,MI,MI,Bowling,193/8,170/8,RR,23 Runs,Dr. DY Patil Sports Academy,A,Jos Buttler,31,Winning Team,ENG,Capped,,100(68),,,,
10,GT,DC,DC,Bowling,171/6,157/9,GT,14 Runs,Maharashtra Cricket Association Statium,E,Lockie Ferguson,31,Winning Team,NZ,Capped,4/0/28/4,,,,,
11,PBKS,CSK,CSK,Bowling,180/8,126/10,PBKS,54 Runs,Brabourne,E,Liam Livingstone,28,Winning Team,ENG,Capped,3/0/25/2,60(32),,,,
12,LSG,SRH,SRH,Bowling,169/7,157/9,LSG,12 Runs,Dr. DY Patil Sports Academy,E,Avesh Khan,25,Winning Team,IND,Uncapped,4/0/24/4,,,,,
13,RR,RCB,RCB,Bowling,169/3,173/6,RCB,4 Wickets  ,Wankhede,E,Dinesh Karthik,37,Winning Team,IND,Capped,,44(23),,,,
14,MI,KKR,KKR,Bowling,161/4,162/5,KKR,5 Wickets  ,Maharashtra Cricket Association Statium,E,Pat Cummins,29,Winning Team,AUS,Capped,4/0/49/2,56(15),,,,
15,DC,LSG,LSG,Bowling,149/3,155/4,LSG,6 Wickets,Dr. DY Patil Sports Academy,E,Quinton de Kock,29,Winning Team,SA,Capped,,80(52),,,,
16,PBKS,GT,GT,Bowling,189/9,190/4,GT,6 Wickets,Brabourne,E,Shubman Gill,22,Winning Team,IND,Capped,,96(59),,,,
17,CSK,SRH,SRH,Bowling,154/7,155/2,SRH,8 Wickets,Dr. DY Patil Sports Academy,A,Abhishek Sharma,21,Winning Team,IND,Uncapped,,75(50),,,,
18,MI,RCB,RCB,Bowling,151/6,152/3,RCB,7 Wickets,Maharashtra Cricket Association Statium,E,Anuj Rawat,22,Winning Team,IND,Uncapped,,66(47),,,,
19,DC,KKR,KKR,Bowling,215/5,171/10,DC,44 Runs,Brabourne,A,Kuldeep Yadav,27,Winning Team,IND,Capped,4/0/35/4,,,,,
20,RR,LSG,LSG,Bowling,165/6,162/8,RR,3 Runs,Wankhede,E,Yuzvendra Chahal,31,Winning Team,IND,Capped,4/0/41/4,,,,,
21,GT,SRH,SRH,Bowling,162/7,168/2,SRH,8 Wickets,Dr. DY Patil Sports Academy,E,Kane Williamson,31,Winning Team,NZ,Capped,,57(46),,,,
22,CSK,RCB,RCB,Bowling,216/4,193/9,CSK,23 Runs,Dr. DY Patil Sports Academy,E,Shivam Dube,29,Winning Team,IND,Uncapped,,95(46),,,,
23,PBKS,MI,MI,Bowling,198/5,186/9,PBKS,12 Runs,Maharashtra Cricket Association Statium,E,Mayank Agarwal,31,Winning Team,IND,Capped,,52(32),,,,
24,GT,RR,RR,Bowling,192/4,155/9,GT,37 Runs,Dr. DY Patil Sports Academy,E,Hardik Pandya,28,Winning Team,IND,Capped,2.3/0/18/1,87(52),,,,
